,ID,Delivery_person_Ratings,Delivery_person_Age,time_periods,Time_taken(min),Age_Group,Time_Group
1102,0x2363 ,4.1,33,19:00-22:00,41,30-40,40-54
1104,0x3695 ,4.0,39,16:00-19:00,38,30-40,30-40
1106,0x7450 ,4.6,24,10:00-13:00,20,20-30,20-30
1107,0xc60 ,4.0,31,13:00-16:00,34,30-40,30-40
1108,0xb112 ,4.6,29,19:00-22:00,37,20-30,30-40
1109,0x9331 ,4.6,25,19:00-22:00,16,20-30,10-20
1110,0x5b28 ,4.6,21,16:00-19:00,34,20-30,30-40
1111,0x7c4e ,4.9,38,22:00-23:59,23,30-40,20-30
1112,0xbb36 ,4.9,31,19:00-22:00,29,30-40,20-30
1113,0xfb5 ,4.2,23,16:00-19:00,35,20-30,30-40
1114,0x6d6c ,4.8,35,22:00-23:59,18,30-40,10-20
1115,0x8720 ,4.4,39,16:00-19:00,31,30-40,30-40
1116,0xcf05 ,5.0,24,22:00-23:59,19,20-30,10-20
1117,0x9a4c ,4.7,28,10:00-13:00,11,20-30,10-20
1119,0x38df ,4.6,27,19:00-22:00,29,20-30,20-30
1120,0xd9f3 ,4.8,37,19:00-22:00,27,30-40,20-30
1121,0xdb47 ,4.6,27,16:00-19:00,15,20-30,10-20
1122,0xa743 ,4.7,24,19:00-22:00,17,20-30,10-20
1123,0x124a ,4.7,32,16:00-19:00,30,30-40,30-40
1124,0x1db3 ,4.1,33,16:00-19:00,32,30-40,30-40
1125,0x6c6e ,4.7,36,22:00-23:59,29,30-40,20-30
1126,0x71b6 ,4.3,36,19:00-22:00,32,30-40,30-40
1127,0xaadb ,4.7,22,16:00-19:00,23,20-30,20-30
1128,0x2887 ,4.6,21,16:00-19:00,26,20-30,20-30
1129,0xbe42 ,4.5,35,22:00-23:59,27,30-40,20-30
1130,0x63b5 ,4.8,34,19:00-22:00,43,30-40,40-54
1131,0xcc32 ,4.7,20,19:00-22:00,17,20-30,10-20
1132,0xa8d7 ,4.7,22,16:00-19:00,16,20-30,10-20
1133,0xad18 ,4.7,23,22:00-23:59,16,20-30,10-20
1134,0xe192 ,4.5,22,10:00-13:00,25,20-30,20-30
1136,0x8fc3 ,4.7,23,19:00-22:00,48,20-30,40-54
1137,0xc5dd ,4.4,22,16:00-19:00,39,20-30,30-40
1138,0xaadd ,4.5,33,19:00-22:00,35,30-40,30-40
1139,0xa0b9 ,4.6,29,22:00-23:59,24,20-30,20-30
1140,0x2604 ,4.6,20,19:00-22:00,26,20-30,20-30
1141,0xb76c ,4.0,37,16:00-19:00,39,30-40,30-40
1143,0x7c23 ,4.7,20,22:00-23:59,19,20-30,10-20
1144,0x7f3d ,4.4,24,10:00-13:00,34,20-30,30-40
1145,0x571b ,4.9,20,10:00-13:00,17,20-30,10-20
1146,0xbcdf ,4.7,28,19:00-22:00,29,20-30,20-30
1147,0xcf16 ,4.8,32,19:00-22:00,44,30-40,40-54
1148,0xbd64 ,4.8,36,07:00-10:00,27,30-40,20-30
1149,0x4d56 ,4.7,35,22:00-23:59,19,30-40,10-20
1150,0x66bf ,4.7,23,22:00-23:59,19,20-30,10-20
1151,0x6c44 ,4.8,22,19:00-22:00,25,20-30,20-30
1152,0x75ba ,4.8,29,19:00-22:00,30,20-30,30-40
1153,0xb0d1 ,4.5,23,10:00-13:00,23,20-30,20-30
1154,0x9dbb ,4.4,27,19:00-22:00,35,20-30,30-40
1155,0xa5a3 ,4.8,28,07:00-10:00,19,20-30,10-20
1156,0x470c ,4.7,22,19:00-22:00,33,20-30,30-40
1158,0x74d3 ,4.9,37,22:00-23:59,22,30-40,20-30
1159,0xab82 ,4.3,28,13:00-16:00,31,20-30,30-40
1160,0x3b21 ,4.8,32,22:00-23:59,37,30-40,30-40
1161,0xd6d5 ,4.6,30,10:00-13:00,19,30-40,10-20
1162,0x4c2f ,4.6,20,19:00-22:00,10,20-30,10-20
1163,0x5ec6 ,4.1,30,19:00-22:00,37,30-40,30-40
1164,0x6a10 ,4.5,21,19:00-22:00,29,20-30,20-30
1165,0x19df ,4.5,20,22:00-23:59,19,20-30,10-20
1166,0xd644 ,4.8,34,19:00-22:00,28,30-40,20-30
1167,0x7298 ,4.9,21,16:00-19:00,25,20-30,20-30
1168,0xf2c ,4.5,21,16:00-19:00,32,20-30,30-40
1169,0xadcb ,4.9,28,22:00-23:59,17,20-30,10-20
1170,0x4181 ,4.6,39,16:00-19:00,30,30-40,30-40
1171,0x9d9c ,4.4,33,13:00-16:00,32,30-40,30-40
1172,0x1984 ,4.5,34,22:00-23:59,29,30-40,20-30
1173,0x2460 ,5.0,33,16:00-19:00,33,30-40,30-40
1174,0xbe89 ,4.5,23,07:00-10:00,18,20-30,10-20
1175,0x7ddf ,4.9,37,13:00-16:00,38,30-40,30-40
1176,0x7b07 ,4.1,38,16:00-19:00,32,30-40,30-40
1177,0x35ec ,4.1,35,16:00-19:00,38,30-40,30-40
1178,0xc6bb ,5.0,34,22:00-23:59,20,30-40,20-30
1179,0xa925 ,4.3,27,16:00-19:00,32,20-30,30-40
1180,0x182f ,4.6,20,07:00-10:00,13,20-30,10-20
1181,0xcb99 ,4.7,37,22:00-23:59,15,30-40,10-20
1182,0x7b2d ,5.0,22,19:00-22:00,15,20-30,10-20
1184,0x10d6 ,4.6,36,19:00-22:00,25,30-40,20-30
1186,0xe45 ,4.6,36,10:00-13:00,25,30-40,20-30
1187,0xb47e ,4.6,32,19:00-22:00,46,30-40,40-54
1188,0x7a87 ,4.8,20,22:00-23:59,21,20-30,20-30
1190,0xe95 ,4.7,20,22:00-23:59,16,20-30,10-20
1191,0x7638 ,4.9,32,07:00-10:00,29,30-40,20-30
1192,0x4f16 ,4.9,30,19:00-22:00,53,30-40,40-54
1193,0x81d7 ,4.8,22,22:00-23:59,12,20-30,10-20
1194,0xa22d ,4.9,25,10:00-13:00,13,20-30,10-20
1196,0x3641 ,4.8,29,19:00-22:00,25,20-30,20-30
1197,0xea8 ,4.8,20,19:00-22:00,38,20-30,30-40
1198,0x7b13 ,4.6,32,22:00-23:59,26,30-40,20-30
1199,0x55e5 ,4.8,32,10:00-13:00,29,30-40,20-30
1200,0xa101 ,4.9,30,22:00-23:59,23,30-40,20-30
1201,0x102a ,4.8,38,07:00-10:00,16,30-40,10-20
1202,0xe1a5 ,4.5,31,19:00-22:00,39,30-40,30-40
1203,0xdb73 ,4.0,39,19:00-22:00,37,30-40,30-40
1204,0x69ac ,4.6,32,19:00-22:00,29,30-40,20-30
1205,0x5a45 ,4.9,32,10:00-13:00,24,30-40,20-30
1206,0x472e ,4.9,35,10:00-13:00,25,30-40,20-30
1207,0x804a ,4.9,27,16:00-19:00,20,20-30,20-30
1208,0x7c19 ,4.2,30,22:00-23:59,44,30-40,40-54
1209,0x20d3 ,4.9,22,19:00-22:00,18,20-30,10-20
1210,0x8029 ,4.5,29,19:00-22:00,23,20-30,20-30
1211,0x6a01 ,4.1,36,22:00-23:59,24,30-40,20-30
1212,0x2b00 ,4.6,39,19:00-22:00,26,30-40,20-30
1213,0x8cc8 ,4.7,29,16:00-19:00,26,20-30,20-30
1214,0x3319 ,4.9,25,22:00-23:59,19,20-30,10-20
1215,0x8271 ,4.0,32,16:00-19:00,40,30-40,40-54
1216,0x1122 ,4.0,31,16:00-19:00,44,30-40,40-54
1217,0x9e75 ,4.8,22,07:00-10:00,15,20-30,10-20
1218,0x2f86 ,4.9,20,19:00-22:00,26,20-30,20-30
1220,0x6a50 ,4.7,22,16:00-19:00,24,20-30,20-30
1221,0x4b27 ,4.9,20,10:00-13:00,14,20-30,10-20
1222,0x36dc ,4.9,30,16:00-19:00,34,30-40,30-40
1223,0x489d ,4.8,23,22:00-23:59,24,20-30,20-30
1224,0x7b96 ,4.8,28,22:00-23:59,15,20-30,10-20
1225,0x7421 ,5.0,30,19:00-22:00,25,30-40,20-30
1226,0xc3a8 ,4.8,25,22:00-23:59,14,20-30,10-20
1229,0x6624 ,4.7,25,19:00-22:00,19,20-30,10-20
1230,0x43cf ,4.7,27,10:00-13:00,15,20-30,10-20
1231,0xc9d2 ,4.6,35,16:00-19:00,23,30-40,20-30
1232,0x6c22 ,4.8,21,16:00-19:00,13,20-30,10-20
1233,0x58b4 ,4.9,24,16:00-19:00,24,20-30,20-30
1234,0x3638 ,4.6,22,22:00-23:59,23,20-30,20-30
1235,0x8bfa ,4.9,38,16:00-19:00,29,30-40,20-30
1236,0x7b31 ,4.1,27,22:00-23:59,22,20-30,20-30
1237,0xcead ,4.5,26,19:00-22:00,19,20-30,10-20
1238,0xa62c ,4.8,21,07:00-10:00,13,20-30,10-20
1239,0xa563 ,4.5,32,07:00-10:00,28,30-40,20-30
1240,0xc3a1 ,4.6,35,22:00-23:59,21,30-40,20-30
1241,0xb77b ,4.9,29,16:00-19:00,29,20-30,20-30
1242,0x58cf ,4.5,23,19:00-22:00,27,20-30,20-30
1243,0x6487 ,4.9,31,13:00-16:00,30,30-40,30-40
1244,0x9d1 ,4.8,20,16:00-19:00,20,20-30,20-30
1245,0x2846 ,4.8,39,10:00-13:00,29,30-40,20-30
1246,0x8240 ,4.9,33,22:00-23:59,26,30-40,20-30
1247,0x1d1b ,4.8,28,19:00-22:00,18,20-30,10-20
1248,0xc649 ,4.9,22,19:00-22:00,25,20-30,20-30
1249,0x158c ,4.7,34,10:00-13:00,44,30-40,40-54
1250,0x2a1b ,4.8,26,19:00-22:00,26,20-30,20-30
1251,0x39e1 ,4.9,21,16:00-19:00,38,20-30,30-40
1252,0xac94 ,4.9,22,16:00-19:00,12,20-30,10-20
1253,0xa8e0 ,4.7,30,22:00-23:59,29,30-40,20-30
1254,0x17cc ,4.7,23,19:00-22:00,38,20-30,30-40
1255,0xba4d ,4.2,33,10:00-13:00,33,30-40,30-40
1256,0x8598 ,4.3,36,16:00-19:00,35,30-40,30-40
1257,0x89fb ,5.0,29,19:00-22:00,20,20-30,20-30
1258,0xbe99 ,4.9,36,07:00-10:00,21,30-40,20-30
1259,0x65a ,5.0,27,16:00-19:00,26,20-30,20-30
1261,0x9a98 ,4.9,30,19:00-22:00,34,30-40,30-40
1262,0xa5b3 ,4.1,39,19:00-22:00,32,30-40,30-40
1264,0x438e ,4.9,33,07:00-10:00,21,30-40,20-30
1265,0x45b4 ,4.9,31,22:00-23:59,29,30-40,20-30
1266,0xb036 ,4.8,31,16:00-19:00,18,30-40,10-20
1267,0x206e ,4.5,24,16:00-19:00,25,20-30,20-30
1268,0xa378 ,5.0,21,19:00-22:00,18,20-30,10-20
1269,0xcf10 ,4.6,27,10:00-13:00,18,20-30,10-20
1270,0xbfe3 ,4.7,38,22:00-23:59,29,30-40,20-30
1273,0x81ff ,4.8,39,16:00-19:00,39,30-40,30-40
1274,0x36ef ,4.9,29,19:00-22:00,15,20-30,10-20
1276,0x3a88 ,4.6,34,10:00-13:00,29,30-40,20-30
1277,0xd12 ,4.3,36,19:00-22:00,44,30-40,40-54
1278,0x155c ,5.0,34,19:00-22:00,26,30-40,20-30
1279,0x1458 ,4.7,29,22:00-23:59,14,20-30,10-20
1280,0x5d6b ,4.8,37,19:00-22:00,35,30-40,30-40
1281,0xa23d ,4.4,22,00:00-04:00,27,20-30,20-30
1282,0x48bc ,4.1,27,19:00-22:00,32,20-30,30-40
1284,0x1604 ,4.4,31,19:00-22:00,40,30-40,40-54
1285,0x6b7e ,4.5,26,22:00-23:59,23,20-30,20-30
1287,0x7f24 ,4.9,38,16:00-19:00,18,30-40,10-20
1288,0xc75b ,4.6,21,10:00-13:00,23,20-30,20-30
1289,0xabcc ,4.7,35,13:00-16:00,24,30-40,20-30
1290,0xbcf1 ,4.7,21,16:00-19:00,14,20-30,10-20
1291,0xc796 ,5.0,32,16:00-19:00,41,30-40,40-54
1292,0xac1f ,4.6,29,22:00-23:59,16,20-30,10-20
1293,0x1560 ,4.5,32,19:00-22:00,37,30-40,30-40
1294,0x904f ,4.5,20,16:00-19:00,24,20-30,20-30
1295,0x580d ,4.6,28,19:00-22:00,14,20-30,10-20
1296,0xaaa3 ,4.7,23,16:00-19:00,38,20-30,30-40
1298,0x220a ,4.0,33,19:00-22:00,35,30-40,30-40
1299,0xd97b ,4.3,36,10:00-13:00,39,30-40,30-40
1300,0x979a ,3.7,35,19:00-22:00,31,30-40,30-40
1301,0xb8bb ,4.3,38,10:00-13:00,37,30-40,30-40
1302,0x9942 ,4.9,38,19:00-22:00,47,30-40,40-54
1303,0x2210 ,4.4,37,22:00-23:59,44,30-40,40-54
1304,0xbd6e ,4.6,32,19:00-22:00,24,30-40,20-30
1305,0x7724 ,4.6,38,00:00-04:00,15,30-40,10-20
1306,0x39eb ,4.9,34,19:00-22:00,40,30-40,40-54
1307,0x59aa ,4.5,33,22:00-23:59,28,30-40,20-30
1308,0xbca4 ,5.0,20,22:00-23:59,28,20-30,20-30
1309,0x3ef0 ,4.8,20,16:00-19:00,20,20-30,20-30
1310,0xdca0 ,4.8,32,22:00-23:59,27,30-40,20-30
1311,0xdd5d ,4.7,26,13:00-16:00,10,20-30,10-20
1312,0x45ea ,4.7,36,19:00-22:00,25,30-40,20-30
1313,0xdcb6 ,5.0,21,19:00-22:00,18,20-30,10-20
1314,0x698d ,4.6,29,16:00-19:00,32,20-30,30-40
1315,0xa29a ,4.6,33,22:00-23:59,21,30-40,20-30
1316,0x402b ,4.7,31,22:00-23:59,18,30-40,10-20
1317,0x5e7b ,4.8,32,16:00-19:00,30,30-40,30-40
1318,0x1fa6 ,4.5,39,10:00-13:00,19,30-40,10-20
1319,0xb44b ,4.9,22,10:00-13:00,30,20-30,30-40
1320,0x94de ,4.9,28,19:00-22:00,31,20-30,30-40
1321,0xd9e3 ,4.6,32,10:00-13:00,25,30-40,20-30
1322,0x5c0b ,4.8,39,19:00-22:00,38,30-40,30-40
1323,0x59ef ,4.7,38,19:00-22:00,30,30-40,30-40
1324,0x26fc ,4.6,32,16:00-19:00,37,30-40,30-40
1325,0x6d71 ,4.8,37,22:00-23:59,27,30-40,20-30
1326,0xd334 ,4.9,33,16:00-19:00,29,30-40,20-30
1327,0x9861 ,4.7,29,13:00-16:00,39,20-30,30-40
1328,0x135a ,4.5,29,22:00-23:59,24,20-30,20-30
1329,0x1aff ,4.8,27,19:00-22:00,19,20-30,10-20
1330,0x7d14 ,4.9,28,16:00-19:00,17,20-30,10-20
1331,0x8c95 ,4.9,27,19:00-22:00,22,20-30,20-30
1332,0xdf12 ,4.8,31,10:00-13:00,11,30-40,10-20
1333,0x2daf ,2.5,20,22:00-23:59,43,20-30,40-54
1334,0x7412 ,4.5,27,16:00-19:00,16,20-30,10-20
1335,0xc15c ,4.5,29,13:00-16:00,18,20-30,10-20
1336,0x69ed ,5.0,34,10:00-13:00,33,30-40,30-40
1337,0x34c2 ,4.6,37,16:00-19:00,30,30-40,30-40
1338,0x80bc ,4.6,24,19:00-22:00,38,20-30,30-40
1339,0xa3f0 ,4.8,27,16:00-19:00,25,20-30,20-30
1341,0xce05 ,4.6,28,22:00-23:59,24,20-30,20-30
1342,0x9f8d ,5.0,28,19:00-22:00,17,20-30,10-20
1343,0x6898 ,4.8,35,16:00-19:00,20,30-40,20-30
1344,0x4be4 ,4.9,26,16:00-19:00,15,20-30,10-20
1345,0x8bbc ,4.6,36,16:00-19:00,28,30-40,20-30
1346,0xb4ac ,4.6,37,19:00-22:00,27,30-40,20-30
1347,0x3609 ,4.6,25,16:00-19:00,26,20-30,20-30
1348,0xc89c ,4.6,35,16:00-19:00,36,30-40,30-40
1349,0x306b ,4.6,25,22:00-23:59,14,20-30,10-20
1350,0xc985 ,4.9,24,07:00-10:00,16,20-30,10-20
1351,0x2a67 ,4.7,25,16:00-19:00,22,20-30,20-30
1352,0x6e63 ,5.0,23,10:00-13:00,14,20-30,10-20
1353,0x2de8 ,4.9,24,22:00-23:59,17,20-30,10-20
1355,0xaf73 ,4.6,21,16:00-19:00,20,20-30,20-30
1356,0x492f ,5.0,21,22:00-23:59,28,20-30,20-30
1357,0xcfde ,4.8,37,10:00-13:00,18,30-40,10-20
1358,0xc1d8 ,4.1,38,19:00-22:00,50,30-40,40-54
1359,0x7784 ,4.9,33,22:00-23:59,18,30-40,10-20
1360,0xa83a ,4.1,27,19:00-22:00,44,20-30,40-54
1361,0x8985 ,4.5,26,19:00-22:00,17,20-30,10-20
1362,0xb2b1 ,4.8,25,22:00-23:59,21,20-30,20-30
1363,0x5269 ,4.5,35,22:00-23:59,27,30-40,20-30
1364,0x674a ,4.9,29,22:00-23:59,21,20-30,20-30
1365,0x626d ,4.9,29,16:00-19:00,29,20-30,20-30
1366,0x4769 ,4.5,25,19:00-22:00,11,20-30,10-20
1367,0x7481 ,4.9,31,10:00-13:00,21,30-40,20-30
1368,0xb7a8 ,4.1,26,22:00-23:59,22,20-30,20-30
1369,0x4a2e ,4.7,22,13:00-16:00,26,20-30,20-30
1370,0x500c ,4.7,26,16:00-19:00,23,20-30,20-30
1371,0x4961 ,4.6,29,19:00-22:00,30,20-30,30-40
1372,0x99a9 ,4.5,33,19:00-22:00,22,30-40,20-30
1373,0x758e ,4.7,22,22:00-23:59,28,20-30,20-30
1374,0x5a4a ,4.9,29,16:00-19:00,26,20-30,20-30
1375,0x596c ,4.8,24,16:00-19:00,23,20-30,20-30
1376,0xa75 ,4.7,37,10:00-13:00,18,30-40,10-20
1377,0xce3d ,4.8,27,16:00-19:00,17,20-30,10-20
1380,0x3d27 ,4.0,32,19:00-22:00,43,30-40,40-54
1381,0xb477 ,4.6,25,19:00-22:00,38,20-30,30-40
1382,0x1333 ,4.7,34,16:00-19:00,43,30-40,40-54
1383,0x31b6 ,4.7,32,22:00-23:59,28,30-40,20-30
1384,0x236d ,4.6,28,19:00-22:00,11,20-30,10-20
1385,0x32f2 ,4.6,25,19:00-22:00,28,20-30,20-30
1386,0x66b9 ,4.9,28,19:00-22:00,17,20-30,10-20
1387,0xa6ab ,4.6,24,19:00-22:00,49,20-30,40-54
1388,0xc70a ,5.0,33,10:00-13:00,21,30-40,20-30
1389,0x6aae ,4.7,35,10:00-13:00,18,30-40,10-20
1390,0xe027 ,4.7,32,16:00-19:00,28,30-40,20-30
1391,0xe247 ,2.6,23,22:00-23:59,43,20-30,40-54
1393,0x7be2 ,4.6,36,13:00-16:00,25,30-40,20-30
1394,0x131b ,4.3,20,07:00-10:00,24,20-30,20-30
1395,0xcb4 ,4.7,24,19:00-22:00,23,20-30,20-30
1396,0x377c ,4.9,32,19:00-22:00,27,30-40,20-30
1397,0x7761 ,4.5,35,10:00-13:00,22,30-40,20-30
1398,0x6569 ,4.9,25,22:00-23:59,19,20-30,10-20
1399,0xd3f ,5.0,39,22:00-23:59,27,30-40,20-30
1400,0xbec3 ,4.9,35,16:00-19:00,43,30-40,40-54
1402,0x12ad ,4.0,32,19:00-22:00,51,30-40,40-54
1403,0x54ec ,4.2,35,19:00-22:00,44,30-40,40-54
1404,0x8111 ,4.9,23,10:00-13:00,13,20-30,10-20
1405,0x70c0 ,4.6,29,10:00-13:00,20,20-30,20-30
1407,0xa406 ,4.9,23,19:00-22:00,19,20-30,10-20
1408,0x1a4f ,4.0,26,22:00-23:59,43,20-30,40-54
1410,0xe263 ,4.7,31,10:00-13:00,26,30-40,20-30
1412,0xdd02 ,4.8,22,19:00-22:00,26,20-30,20-30
1413,0x3977 ,4.7,30,10:00-13:00,28,30-40,20-30
1414,0x4cee ,4.5,24,19:00-22:00,49,20-30,40-54
1416,0xe161 ,4.8,27,22:00-23:59,28,20-30,20-30
1417,0xcf72 ,4.8,20,22:00-23:59,16,20-30,10-20
1418,0x355c ,4.9,23,22:00-23:59,16,20-30,10-20
1419,0xa129 ,4.0,38,19:00-22:00,44,30-40,40-54
1420,0x5f61 ,4.6,27,22:00-23:59,19,20-30,10-20
1422,0xc446 ,4.7,22,19:00-22:00,19,20-30,10-20
1423,0x6d02 ,4.6,20,19:00-22:00,38,20-30,30-40
1424,0x9412 ,4.0,36,19:00-22:00,37,30-40,30-40
1425,0xc3ab ,4.9,30,19:00-22:00,27,30-40,20-30
1426,0x626b ,4.1,23,10:00-13:00,23,20-30,20-30
1428,0xde75 ,4.2,38,13:00-16:00,31,30-40,30-40
1429,0x701a ,4.7,30,16:00-19:00,30,30-40,30-40
1430,0x906e ,4.5,38,22:00-23:59,29,30-40,20-30
1431,0x1954 ,4.7,37,16:00-19:00,29,30-40,20-30
1432,0x1afe ,4.9,25,00:00-04:00,26,20-30,20-30
1433,0xaf05 ,4.6,27,10:00-13:00,15,20-30,10-20
1434,0x745e ,4.6,27,22:00-23:59,27,20-30,20-30
1435,0xab19 ,4.0,39,19:00-22:00,43,30-40,40-54
1436,0xb48 ,4.1,24,07:00-10:00,26,20-30,20-30
1437,0xd75a ,5.0,31,19:00-22:00,15,30-40,10-20
1438,0x5a1d ,4.6,27,22:00-23:59,17,20-30,10-20
1439,0x9fa7 ,4.8,37,16:00-19:00,32,30-40,30-40
1440,0x47cd ,4.7,24,10:00-13:00,27,20-30,20-30
1441,0x88de ,4.9,30,22:00-23:59,24,30-40,20-30
1442,0x5c06 ,3.1,22,22:00-23:59,40,20-30,40-54
1443,0x821e ,4.0,39,10:00-13:00,34,30-40,30-40
1444,0xbe50 ,4.5,31,16:00-19:00,49,30-40,40-54
1445,0x5376 ,4.7,31,10:00-13:00,30,30-40,30-40
1446,0x5f25 ,4.3,26,19:00-22:00,36,20-30,30-40
1447,0x78c2 ,4.4,27,16:00-19:00,32,20-30,30-40
1448,0xab86 ,4.1,39,16:00-19:00,31,30-40,30-40
1449,0x9dd8 ,4.6,25,22:00-23:59,18,20-30,10-20
1450,0x95f1 ,5.0,21,22:00-23:59,15,20-30,10-20
1452,0xb46 ,3.5,34,16:00-19:00,37,30-40,30-40
1453,0x55d5 ,4.9,32,19:00-22:00,25,30-40,20-30
1454,0xa8ce ,4.9,27,16:00-19:00,19,20-30,10-20
1455,0x37aa ,4.8,37,07:00-10:00,29,30-40,20-30
1457,0x8c7 ,4.7,22,16:00-19:00,28,20-30,20-30
1458,0x83a6 ,4.5,26,19:00-22:00,26,20-30,20-30
1459,0x552f ,5.0,26,16:00-19:00,21,20-30,20-30
1460,0x7053 ,4.8,30,16:00-19:00,36,30-40,30-40
1461,0xb672 ,4.9,27,00:00-04:00,18,20-30,10-20
1462,0xe1fb ,5.0,34,16:00-19:00,31,30-40,30-40
1463,0xb752 ,4.8,25,19:00-22:00,26,20-30,20-30
1464,0xd01e ,4.5,22,16:00-19:00,15,20-30,10-20
1465,0x85be ,4.7,30,16:00-19:00,18,30-40,10-20
1467,0x7b81 ,4.9,35,19:00-22:00,42,30-40,40-54
1468,0x21af ,5.0,27,13:00-16:00,33,20-30,30-40
1469,0x2ff5 ,5.0,33,19:00-22:00,28,30-40,20-30
1470,0xbed1 ,4.7,23,22:00-23:59,38,20-30,30-40
1472,0x3929 ,4.9,36,16:00-19:00,26,30-40,20-30
1473,0x33bd ,4.6,37,22:00-23:59,26,30-40,20-30
1475,0xb509 ,4.1,31,16:00-19:00,37,30-40,30-40
1476,0xa009 ,4.6,23,10:00-13:00,18,20-30,10-20
1477,0x55c5 ,4.9,22,16:00-19:00,24,20-30,20-30
1478,0xbc5c ,4.6,32,16:00-19:00,29,30-40,20-30
1480,0xa379 ,4.7,26,22:00-23:59,10,20-30,10-20
1481,0x43f7 ,4.9,24,19:00-22:00,20,20-30,20-30
1482,0xad28 ,4.9,27,22:00-23:59,22,20-30,20-30
1483,0xfc6 ,4.5,22,19:00-22:00,19,20-30,10-20
1484,0xab42 ,4.8,26,13:00-16:00,16,20-30,10-20
1485,0x86b5 ,4.9,38,16:00-19:00,18,30-40,10-20
1486,0x5ed1 ,4.7,24,22:00-23:59,16,20-30,10-20
1488,0xce5b ,4.7,31,13:00-16:00,35,30-40,30-40
1489,0x3c94 ,4.2,22,10:00-13:00,22,20-30,20-30
1490,0x4974 ,4.9,37,16:00-19:00,15,30-40,10-20
1492,0xb6be ,4.9,33,22:00-23:59,18,30-40,10-20
1493,0x85d3 ,4.9,21,22:00-23:59,18,20-30,10-20
1494,0x3b68 ,4.4,21,22:00-23:59,19,20-30,10-20
1495,0xd196 ,4.9,35,19:00-22:00,45,30-40,40-54
1496,0xa17a ,4.3,20,19:00-22:00,35,20-30,30-40
1497,0x1328 ,4.8,22,19:00-22:00,22,20-30,20-30
1498,0xe1cf ,4.7,30,10:00-13:00,27,30-40,20-30
1500,0xb025 ,4.4,38,19:00-22:00,41,30-40,40-54
1501,0x8cf7 ,4.7,37,22:00-23:59,17,30-40,10-20
1502,0x9a6a ,4.6,25,00:00-04:00,18,20-30,10-20
1503,0xd668 ,4.9,35,16:00-19:00,42,30-40,40-54
1504,0xb8c5 ,4.6,21,16:00-19:00,29,20-30,20-30
1505,0xcfd6 ,4.2,32,07:00-10:00,23,30-40,20-30
1506,0xbf6d ,4.9,37,16:00-19:00,49,30-40,40-54
1507,0x1414 ,4.7,24,16:00-19:00,16,20-30,10-20
1508,0x11b5 ,4.6,26,10:00-13:00,14,20-30,10-20
1509,0x9de9 ,3.8,32,22:00-23:59,35,30-40,30-40
1510,0xbed8 ,4.6,36,16:00-19:00,29,30-40,20-30
1511,0xe01d ,4.6,25,13:00-16:00,19,20-30,10-20
1513,0x2d35 ,4.9,39,16:00-19:00,34,30-40,30-40
1514,0x2175 ,4.6,25,22:00-23:59,16,20-30,10-20
1516,0x518f ,4.5,28,07:00-10:00,16,20-30,10-20
1518,0xc770 ,4.6,24,10:00-13:00,11,20-30,10-20
1519,0x94e3 ,4.8,25,16:00-19:00,25,20-30,20-30
1520,0x1606 ,4.3,20,10:00-13:00,21,20-30,20-30
1522,0x6f5f ,4.8,36,16:00-19:00,29,30-40,20-30
1523,0xb3e6 ,4.6,21,19:00-22:00,43,20-30,40-54
1524,0xdd4f ,4.9,38,10:00-13:00,17,30-40,10-20
1525,0x9d96 ,4.6,35,16:00-19:00,32,30-40,30-40
1526,0x67d5 ,4.6,39,22:00-23:59,26,30-40,20-30
1527,0x5cfe ,4.8,37,22:00-23:59,52,30-40,40-54
1528,0xb6dd ,4.7,25,16:00-19:00,15,20-30,10-20
1529,0x20a3 ,4.2,30,22:00-23:59,33,30-40,30-40
1530,0x45eb ,4.6,39,16:00-19:00,19,30-40,10-20
1532,0x3262 ,4.9,30,16:00-19:00,28,30-40,20-30
1533,0xb8ba ,4.0,38,19:00-22:00,43,30-40,40-54
1534,0x2f95 ,4.4,22,07:00-10:00,16,20-30,10-20
1535,0x4742 ,4.5,27,22:00-23:59,21,20-30,20-30
1536,0xb78b ,4.2,25,10:00-13:00,43,20-30,40-54
1537,0x7387 ,4.6,24,22:00-23:59,14,20-30,10-20
1538,0x4f3e ,4.9,36,10:00-13:00,21,30-40,20-30
1539,0x1af1 ,4.8,27,19:00-22:00,41,20-30,40-54
1540,0xcf46 ,4.8,34,19:00-22:00,25,30-40,20-30
1541,0x6ec5 ,4.7,34,19:00-22:00,36,30-40,30-40
1542,0x6886 ,4.5,29,22:00-23:59,19,20-30,10-20
1543,0x4c59 ,2.7,25,22:00-23:59,37,20-30,30-40
1545,0x9759 ,4.5,37,16:00-19:00,28,30-40,20-30
1546,0xca4 ,4.8,27,19:00-22:00,29,20-30,20-30
1547,0x1f25 ,4.8,39,22:00-23:59,23,30-40,20-30
1548,0xcd11 ,4.3,34,10:00-13:00,20,30-40,20-30
1549,0x4337 ,4.9,27,13:00-16:00,13,20-30,10-20
1550,0x44a4 ,5.0,28,07:00-10:00,24,20-30,20-30
1551,0x85ec ,4.8,24,19:00-22:00,28,20-30,20-30
1553,0x871e ,4.6,38,16:00-19:00,27,30-40,20-30
1554,0xae85 ,4.1,36,19:00-22:00,51,30-40,40-54
1555,0xae1b ,4.6,26,16:00-19:00,16,20-30,10-20
