Festival,Order_Date,Time_taken(min),time_periods,Road_traffic_density,Order_Date_period
No ,2022-04-04,47,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-16,29,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-04-06,25,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-01,14,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-04-02,30,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-10,31,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-27,29,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-12,28,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-15,25,16:00-19:00,Medium,2022-03-10 - 2022-03-20
Yes ,2022-03-09,42,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-02-14,35,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-04-01,32,13:00-16:00,High,2022-04-01 - 2022-04-10
No ,2022-03-05,16,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-01,16,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-01,26,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-26,26,10:00-13:00,High,2022-03-20 - 2022-03-31
No ,2022-04-05,25,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-21,16,10:00-13:00,High,2022-03-20 - 2022-03-31
No ,2022-03-26,29,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-09,31,19:00-22:00,Jam,2022-03-01 - 2022-03-10
Yes ,2022-03-06,43,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-25,17,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-03,33,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-27,28,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-04,37,19:00-22:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-16,30,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-13,17,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-02-12,13,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-24,19,00:00-04:00,Low,2022-03-20 - 2022-03-31
No ,2022-02-11,13,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-04-06,26,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-19,32,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-12,27,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-08,30,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-15,24,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-19,30,13:00-16:00,High,2022-03-10 - 2022-03-20
No ,2022-04-05,38,10:00-13:00,High,2022-04-01 - 2022-04-10
No ,2022-03-10,20,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-06,32,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-04,39,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-20,39,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-05,17,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-04-06,52,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-21,20,10:00-13:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-25,38,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-26,26,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-02,47,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-25,31,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-02-18,26,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-30,17,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-06,26,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-15,23,10:00-13:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-05,46,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-02-11,26,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-03,15,10:00-13:00,High,2022-03-01 - 2022-03-10
No ,2022-03-11,32,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-17,26,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-18,18,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-25,44,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-30,33,13:00-16:00,High,2022-03-20 - 2022-03-31
No ,2022-03-28,12,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-19,27,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-01,22,22:00-23:59,Jam,2022-03-01 - 2022-03-10
No ,2022-03-17,33,13:00-16:00,High,2022-03-10 - 2022-03-20
No ,2022-03-05,19,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-16,26,22:00-23:59,Low,2022-03-10 - 2022-03-20
Yes ,2022-03-20,45,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-02-16,39,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-03,38,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-30,29,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-29,21,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-02-13,27,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-04-04,39,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-27,24,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-06,26,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-10,29,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-02-12,35,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-24,28,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-04-03,28,07:00-10:00,Low,2022-04-01 - 2022-04-10
No ,2022-04-04,32,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-18,29,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-21,13,10:00-13:00,High,2022-03-20 - 2022-03-31
No ,2022-03-26,17,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-02-18,24,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-28,21,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-04-03,19,07:00-10:00,Low,2022-04-01 - 2022-04-10
No ,2022-04-06,31,19:00-22:00,Jam,2022-04-01 - 2022-04-10
Yes ,2022-03-27,43,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-02-16,27,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-02,38,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-04-04,23,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-04-01,28,07:00-10:00,Low,2022-04-01 - 2022-04-10
No ,2022-03-28,11,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-13,26,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-26,12,10:00-13:00,Low,2022-03-20 - 2022-03-31
No ,2022-02-15,18,10:00-13:00,Low,2022-02-10 - 2022-02-20
No ,2022-03-10,24,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-02-13,31,10:00-13:00,High,2022-02-10 - 2022-02-20
No ,2022-04-01,18,16:00-19:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-26,25,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-03,15,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-02,43,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-21,24,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-05,45,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-13,31,13:00-16:00,High,2022-03-10 - 2022-03-20
No ,2022-03-06,29,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-04-05,36,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-17,25,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-24,14,10:00-13:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-20,21,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-02-18,42,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-10,27,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-29,38,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-11,20,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-09,18,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-15,21,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-04-04,47,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-09,24,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-20,35,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-20,25,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-02-15,21,10:00-13:00,Low,2022-02-10 - 2022-02-20
No ,2022-04-04,38,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-17,29,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-02-15,11,10:00-13:00,Low,2022-02-10 - 2022-02-20
No ,2022-03-23,31,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-02-15,10,07:00-10:00,Low,2022-02-10 - 2022-02-20
No ,2022-02-17,26,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-02-18,41,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-02-14,35,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-04-04,33,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-28,22,10:00-13:00,High,2022-03-20 - 2022-03-31
No ,2022-02-15,39,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-04-02,38,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-19,18,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-03,15,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-19,14,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-26,17,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-02-12,44,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-03,25,10:00-13:00,High,2022-03-01 - 2022-03-10
No ,2022-02-17,18,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-24,48,10:00-13:00,High,2022-03-20 - 2022-03-31
No ,2022-03-06,39,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-30,14,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-02-16,36,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-04-04,22,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-19,26,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-27,24,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-10,21,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-07,27,07:00-10:00,Low,2022-03-01 - 2022-03-10
Yes ,2022-03-04,40,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-04-02,35,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-01,29,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-02-13,23,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-04-01,27,13:00-16:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-17,27,13:00-16:00,High,2022-03-10 - 2022-03-20
No ,2022-04-06,33,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-03-13,27,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-04-04,43,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-11,35,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-11,24,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-04-04,26,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-07,26,10:00-13:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-26,15,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-02-14,32,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-04-01,12,07:00-10:00,Low,2022-04-01 - 2022-04-10
No ,2022-03-26,24,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-21,12,10:00-13:00,Low,2022-03-20 - 2022-03-31
No ,2022-04-02,26,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-04-01,23,10:00-13:00,Low,2022-04-01 - 2022-04-10
No ,2022-03-25,36,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-08,15,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-16,17,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-02-18,26,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-09,19,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-02-12,51,22:00-23:59,Jam,2022-02-10 - 2022-02-20
No ,2022-03-19,34,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-17,17,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-04-05,17,07:00-10:00,Low,2022-04-01 - 2022-04-10
No ,2022-03-05,13,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-02-11,16,07:00-10:00,Low,2022-02-10 - 2022-02-20
No ,2022-03-06,26,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-04-06,43,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-14,26,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-04,27,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-04-02,38,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-03-23,35,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-02-12,33,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-05,36,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-17,23,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-02-17,25,13:00-16:00,High,2022-02-10 - 2022-02-20
No ,2022-03-20,40,22:00-23:59,Low,2022-03-10 - 2022-03-20
Yes ,2022-02-16,49,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-30,28,13:00-16:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-14,34,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-02-15,16,10:00-13:00,High,2022-02-10 - 2022-02-20
No ,2022-03-28,27,16:00-19:00,Medium,2022-03-20 - 2022-03-31
Yes ,2022-03-12,47,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-07,10,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-02-12,25,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-02-13,34,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-02,14,22:00-23:59,Jam,2022-03-01 - 2022-03-10
No ,2022-03-11,15,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-14,35,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-09,13,10:00-13:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-25,30,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-28,25,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-04-01,17,07:00-10:00,Low,2022-04-01 - 2022-04-10
No ,2022-04-05,15,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-02-18,31,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-04-01,34,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-13,31,19:00-22:00,Jam,2022-03-10 - 2022-03-20
Yes ,2022-03-31,43,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-10,47,19:00-22:00,Jam,2022-03-01 - 2022-03-10
Yes ,2022-03-31,47,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-02-15,34,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-18,24,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-24,24,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-02-16,19,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-18,33,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-01,11,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-11,49,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-02-14,45,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-27,18,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-18,39,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-19,19,10:00-13:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-13,16,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-27,30,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-02,49,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-11,29,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-21,36,10:00-13:00,High,2022-03-20 - 2022-03-31
No ,2022-02-15,16,07:00-10:00,Low,2022-02-10 - 2022-02-20
No ,2022-03-01,16,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-05,19,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-02-15,17,10:00-13:00,High,2022-02-10 - 2022-02-20
No ,2022-04-01,23,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-06,31,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-12,21,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-21,22,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-18,48,19:00-22:00,Jam,2022-03-10 - 2022-03-20
Yes ,2022-03-14,43,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-02-13,12,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-17,34,13:00-16:00,High,2022-03-10 - 2022-03-20
No ,2022-03-31,36,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-13,30,07:00-10:00,Low,2022-03-10 - 2022-03-20
No ,2022-03-28,22,07:00-10:00,Low,2022-03-20 - 2022-03-31
No ,2022-03-03,20,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-20,29,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-04-01,25,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-02-15,29,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-02-15,25,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-12,43,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-04-02,16,19:00-22:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-02,31,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-02-11,11,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-28,20,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-17,26,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-04-01,17,00:00-04:00,Low,2022-04-01 - 2022-04-10
No ,2022-04-03,11,07:00-10:00,Low,2022-04-01 - 2022-04-10
No ,2022-03-09,16,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-12,36,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-04-04,31,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-04-03,24,10:00-13:00,Low,2022-04-01 - 2022-04-10
No ,2022-03-11,32,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-27,28,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-04-05,35,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-25,22,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-02-11,22,07:00-10:00,Low,2022-02-10 - 2022-02-20
No ,2022-04-06,27,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-06,24,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-04-01,27,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-02-15,21,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-09,27,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-02-11,22,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-01,26,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-06,49,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-21,31,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-15,15,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-31,35,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-12,14,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-05,24,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-05,34,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-11,31,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-29,19,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-09,21,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-17,27,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-25,18,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-03-25,37,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-04-04,19,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-04-03,16,13:00-16:00,Medium,2022-04-01 - 2022-04-10
No ,2022-03-19,22,16:00-19:00,Medium,2022-03-10 - 2022-03-20
No ,2022-03-19,13,10:00-13:00,High,2022-03-10 - 2022-03-20
No ,2022-03-01,28,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-11,24,10:00-13:00,Low,2022-03-10 - 2022-03-20
No ,2022-02-18,43,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-27,35,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-06,28,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-31,20,22:00-23:59,Low,2022-03-20 - 2022-03-31
No ,2022-03-28,10,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-04-05,27,13:00-16:00,High,2022-04-01 - 2022-04-10
No ,2022-02-16,21,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-04-02,22,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-04-03,20,19:00-22:00,Jam,2022-04-01 - 2022-04-10
No ,2022-03-06,36,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-04,21,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-04-04,37,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-03-21,29,13:00-16:00,High,2022-03-20 - 2022-03-31
No ,2022-03-23,38,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-04-05,11,10:00-13:00,Low,2022-04-01 - 2022-04-10
No ,2022-03-13,13,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-07,28,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-29,26,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-02-18,27,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-04,29,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-04-04,32,19:00-22:00,Jam,2022-04-01 - 2022-04-10
Yes ,2022-02-12,42,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-01,22,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-02-16,29,00:00-04:00,Low,2022-02-10 - 2022-02-20
No ,2022-02-12,24,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-02-14,38,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-02-15,18,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-03-15,17,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-17,24,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-02-12,17,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-04,29,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-03-26,31,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-03-31,38,19:00-22:00,Jam,2022-03-20 - 2022-03-31
No ,2022-02-18,21,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-09,25,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-16,52,19:00-22:00,Jam,2022-03-10 - 2022-03-20
Yes ,2022-03-25,42,16:00-19:00,Medium,2022-03-20 - 2022-03-31
No ,2022-02-11,28,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-09,29,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-04-02,43,22:00-23:59,Low,2022-04-01 - 2022-04-10
No ,2022-03-19,32,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-18,32,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-20,22,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-03-03,11,00:00-04:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-06,40,19:00-22:00,Jam,2022-03-01 - 2022-03-10
No ,2022-03-19,25,22:00-23:59,Low,2022-03-10 - 2022-03-20
No ,2022-04-05,27,10:00-13:00,High,2022-04-01 - 2022-04-10
No ,2022-02-17,21,22:00-23:59,Low,2022-02-10 - 2022-02-20
No ,2022-03-14,44,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-01,24,07:00-10:00,Low,2022-03-01 - 2022-03-10
No ,2022-03-11,34,19:00-22:00,Jam,2022-03-10 - 2022-03-20
No ,2022-03-03,28,16:00-19:00,Medium,2022-03-01 - 2022-03-10
No ,2022-02-11,32,19:00-22:00,Jam,2022-02-10 - 2022-02-20
No ,2022-03-08,19,22:00-23:59,Low,2022-03-01 - 2022-03-10
No ,2022-03-07,38,10:00-13:00,High,2022-03-01 - 2022-03-10
No ,2022-03-30,27,13:00-16:00,High,2022-03-20 - 2022-03-31
No ,2022-02-14,20,16:00-19:00,Medium,2022-02-10 - 2022-02-20
No ,2022-02-13,28,10:00-13:00,Low,2022-02-10 - 2022-02-20
No ,2022-04-03,27,10:00-13:00,High,2022-04-01 - 2022-04-10
No ,2022-03-08,17,22:00-23:59,Low,2022-03-01 - 2022-03-10
