Road_traffic_density,Time_taken(min),Type_of_vehicle,Time_Orderd,time_periods
Low,25,motorcycle ,10:30:00,10:00-13:00
Low,25,motorcycle ,11:00:00,10:00-13:00
Jam,15,scooter ,21:20:00,19:00-22:00
Jam,19,scooter ,20:10:00,19:00-22:00
Low,25,electric_scooter ,08:30:00,07:00-10:00
Jam,23,scooter ,19:40:00,19:00-22:00
Low,39,electric_scooter ,22:20:00,22:00-00:00
Medium,19,scooter ,17:45:00,16:00-19:00
Medium,34,motorcycle ,18:55:00,16:00-19:00
Jam,41,scooter ,21:55:00,19:00-22:00
Jam,34,motorcycle ,19:40:00,19:00-22:00
Low,25,motorcycle ,23:40:00,22:00-00:00
High,38,motorcycle ,11:25:00,10:00-13:00
Low,26,motorcycle ,23:10:00,22:00-00:00
Low,16,motorcycle ,22:30:00,22:00-00:00
Low,16,scooter ,22:50:00,22:00-00:00
Low,15,scooter ,10:25:00,10:00-13:00
High,25,motorcycle ,11:50:00,10:00-13:00
Medium,25,motorcycle ,18:55:00,16:00-19:00
Jam,27,motorcycle ,19:55:00,19:00-22:00
Medium,16,motorcycle ,17:40:00,16:00-19:00
Jam,47,motorcycle ,19:50:00,19:00-22:00
Jam,51,motorcycle ,20:20:00,19:00-22:00
Low,29,motorcycle ,22:20:00,22:00-00:00
Low,24,electric_scooter ,08:35:00,07:00-10:00
Low,28,motorcycle ,22:20:00,22:00-00:00
Low,15,electric_scooter ,08:30:00,07:00-10:00
Low,17,motorcycle ,09:20:00,07:00-10:00
Low,24,motorcycle ,10:50:00,10:00-13:00
Low,25,motorcycle ,09:45:00,07:00-10:00
Jam,45,motorcycle ,22:00:00,22:00-00:00
Jam,13,scooter ,20:30:00,19:00-22:00
Medium,35,scooter ,18:40:00,16:00-19:00
Low,16,scooter ,08:10:00,07:00-10:00
Medium,12,motorcycle ,17:00:00,16:00-19:00
Medium,22,scooter ,17:55:00,16:00-19:00
Medium,27,motorcycle ,18:20:00,16:00-19:00
High,26,motorcycle ,13:45:00,13:00-16:00
Jam,23,scooter ,19:55:00,19:00-22:00
Low,22,scooter ,23:50:00,22:00-00:00
Jam,43,scooter ,19:25:00,19:00-22:00
Jam,23,scooter ,20:10:00,19:00-22:00
Jam,30,scooter ,22:00:00,22:00-00:00
Low,18,motorcycle ,08:35:00,07:00-10:00
Jam,43,scooter ,21:25:00,19:00-22:00
Jam,54,motorcycle ,21:30:00,19:00-22:00
Medium,18,scooter ,17:25:00,16:00-19:00
Low,11,scooter ,23:40:00,22:00-00:00
Low,24,motorcycle ,08:40:00,07:00-10:00
Low,26,motorcycle ,08:50:00,07:00-10:00
Medium,25,scooter ,15:55:00,13:00-16:00
Low,28,motorcycle ,08:45:00,07:00-10:00
Low,19,scooter ,09:30:00,07:00-10:00
Jam,29,electric_scooter ,20:50:00,19:00-22:00
Jam,28,motorcycle ,21:35:00,19:00-22:00
Low,15,motorcycle ,08:10:00,07:00-10:00
Low,15,motorcycle ,08:10:00,07:00-10:00
Jam,28,electric_scooter ,20:40:00,19:00-22:00
Jam,20,scooter ,20:55:00,19:00-22:00
Jam,38,motorcycle ,20:45:00,19:00-22:00
Low,28,motorcycle ,23:35:00,22:00-00:00
Medium,25,motorcycle ,15:55:00,13:00-16:00
Low,39,motorcycle ,22:20:00,22:00-00:00
Jam,29,scooter ,19:30:00,19:00-22:00
Low,16,scooter ,10:00:00,10:00-13:00
Low,25,scooter ,23:30:00,22:00-00:00
Medium,24,motorcycle ,17:20:00,16:00-19:00
Low,27,motorcycle ,09:20:00,07:00-10:00
Medium,26,scooter ,17:30:00,16:00-19:00
Low,18,scooter ,10:40:00,10:00-13:00
Medium,46,motorcycle ,18:15:00,16:00-19:00
Jam,44,motorcycle ,21:25:00,19:00-22:00
Medium,29,motorcycle ,18:35:00,16:00-19:00
Medium,10,scooter ,15:50:00,13:00-16:00
Low,10,motorcycle ,08:55:00,07:00-10:00
Low,28,scooter ,10:55:00,10:00-13:00
Jam,29,motorcycle ,21:25:00,19:00-22:00
Jam,22,motorcycle ,21:55:00,19:00-22:00
High,21,motorcycle ,11:50:00,10:00-13:00
Medium,22,scooter ,16:50:00,16:00-19:00
High,25,scooter ,11:55:00,10:00-13:00
Medium,31,motorcycle ,15:35:00,13:00-16:00
Jam,41,scooter ,20:00:00,19:00-22:00
Low,14,scooter ,08:30:00,07:00-10:00
Jam,25,scooter ,19:40:00,19:00-22:00
Medium,20,scooter ,15:35:00,13:00-16:00
Jam,34,motorcycle ,19:15:00,19:00-22:00
Medium,31,scooter ,18:35:00,16:00-19:00
Low,29,motorcycle ,23:00:00,22:00-00:00
Low,22,motorcycle ,10:30:00,10:00-13:00
Low,10,scooter ,23:50:00,22:00-00:00
Low,21,motorcycle ,08:55:00,07:00-10:00
Medium,17,motorcycle ,17:35:00,16:00-19:00
High,34,motorcycle ,11:45:00,10:00-13:00
Jam,18,scooter ,21:40:00,19:00-22:00
Jam,10,motorcycle ,20:20:00,19:00-22:00
Low,15,motorcycle ,22:35:00,22:00-00:00
Medium,34,motorcycle ,18:40:00,16:00-19:00
High,26,motorcycle ,11:15:00,10:00-13:00
Jam,36,scooter ,20:55:00,19:00-22:00
Jam,22,scooter ,21:15:00,19:00-22:00
Jam,32,motorcycle ,21:15:00,19:00-22:00
Medium,28,motorcycle ,16:45:00,16:00-19:00
Jam,18,scooter ,19:15:00,19:00-22:00
Medium,35,scooter ,18:30:00,16:00-19:00
Low,18,motorcycle ,23:20:00,22:00-00:00
Jam,25,scooter ,19:30:00,19:00-22:00
Jam,17,motorcycle ,20:50:00,19:00-22:00
Medium,32,motorcycle ,18:15:00,16:00-19:00
Jam,25,motorcycle ,21:35:00,19:00-22:00
Medium,32,motorcycle ,17:10:00,16:00-19:00
Jam,36,motorcycle ,21:30:00,19:00-22:00
Jam,34,scooter ,21:25:00,19:00-22:00
Low,26,motorcycle ,10:20:00,10:00-13:00
Jam,23,motorcycle ,21:40:00,19:00-22:00
High,27,scooter ,11:35:00,10:00-13:00
Low,26,scooter ,23:35:00,22:00-00:00
Jam,43,electric_scooter ,20:00:00,19:00-22:00
High,31,scooter ,13:45:00,13:00-16:00
Medium,25,scooter ,19:00:00,19:00-22:00
Low,23,scooter ,22:50:00,22:00-00:00
Jam,27,scooter ,19:55:00,19:00-22:00
Medium,19,motorcycle ,17:55:00,16:00-19:00
Jam,41,scooter ,21:15:00,19:00-22:00
High,15,scooter ,11:30:00,10:00-13:00
High,31,scooter ,11:10:00,10:00-13:00
Medium,24,scooter ,18:40:00,16:00-19:00
Jam,19,motorcycle ,19:50:00,19:00-22:00
High,12,motorcycle ,14:40:00,13:00-16:00
Low,25,motorcycle ,11:00:00,10:00-13:00
Jam,51,motorcycle ,21:35:00,19:00-22:00
Jam,23,scooter ,21:25:00,19:00-22:00
High,13,scooter ,14:50:00,13:00-16:00
Low,26,motorcycle ,10:50:00,10:00-13:00
High,22,scooter ,12:50:00,10:00-13:00
High,22,scooter ,11:40:00,10:00-13:00
Jam,45,motorcycle ,19:55:00,19:00-22:00
Low,26,motorcycle ,09:30:00,07:00-10:00
Medium,17,scooter ,16:55:00,16:00-19:00
Medium,29,motorcycle ,18:00:00,16:00-19:00
Medium,33,scooter ,17:30:00,16:00-19:00
Low,29,motorcycle ,22:10:00,22:00-00:00
Medium,19,motorcycle ,17:50:00,16:00-19:00
Low,34,motorcycle ,23:55:00,22:00-00:00
Medium,30,motorcycle ,18:50:00,16:00-19:00
Medium,25,motorcycle ,15:45:00,13:00-16:00
Low,30,scooter ,22:50:00,22:00-00:00
High,18,scooter ,13:20:00,13:00-16:00
Low,15,scooter ,00:00:00,00:00-04:00
Medium,21,motorcycle ,19:00:00,19:00-22:00
Medium,25,electric_scooter ,18:15:00,16:00-19:00
Jam,25,scooter ,22:00:00,22:00-00:00
Medium,28,motorcycle ,18:15:00,16:00-19:00
Low,27,motorcycle ,23:45:00,22:00-00:00
Jam,33,electric_scooter ,22:00:00,22:00-00:00
Low,44,scooter ,23:00:00,22:00-00:00
Low,19,motorcycle ,10:15:00,10:00-13:00
Low,23,motorcycle ,22:35:00,22:00-00:00
Medium,21,scooter ,15:55:00,13:00-16:00
Jam,36,motorcycle ,21:45:00,19:00-22:00
High,24,motorcycle ,14:50:00,13:00-16:00
Low,26,motorcycle ,10:55:00,10:00-13:00
Low,26,motorcycle ,22:15:00,22:00-00:00
High,25,motorcycle ,11:45:00,10:00-13:00
Jam,26,motorcycle ,19:10:00,19:00-22:00
Jam,28,scooter ,19:45:00,19:00-22:00
Medium,22,motorcycle ,18:30:00,16:00-19:00
Medium,35,motorcycle ,17:25:00,16:00-19:00
Low,19,motorcycle ,10:25:00,10:00-13:00
Jam,32,motorcycle ,20:20:00,19:00-22:00
Low,16,scooter ,10:25:00,10:00-13:00
Jam,24,electric_scooter ,21:10:00,19:00-22:00
Jam,46,scooter ,21:55:00,19:00-22:00
Jam,21,scooter ,21:15:00,19:00-22:00
Medium,31,motorcycle ,17:40:00,16:00-19:00
Low,11,scooter ,22:15:00,22:00-00:00
Jam,19,scooter ,21:35:00,19:00-22:00
Medium,37,motorcycle ,18:40:00,16:00-19:00
Jam,51,motorcycle ,20:20:00,19:00-22:00
High,23,electric_scooter ,12:40:00,10:00-13:00
Low,18,motorcycle ,23:20:00,22:00-00:00
Jam,32,motorcycle ,21:40:00,19:00-22:00
Medium,16,motorcycle ,19:00:00,19:00-22:00
High,24,motorcycle ,12:55:00,10:00-13:00
Jam,31,scooter ,19:10:00,19:00-22:00
Jam,36,motorcycle ,20:40:00,19:00-22:00
Jam,41,motorcycle ,19:50:00,19:00-22:00
Low,25,scooter ,22:20:00,22:00-00:00
Low,19,scooter ,23:20:00,22:00-00:00
Jam,40,scooter ,19:25:00,19:00-22:00
High,25,motorcycle ,11:30:00,10:00-13:00
Medium,25,scooter ,18:20:00,16:00-19:00
Jam,33,scooter ,21:55:00,19:00-22:00
Low,29,motorcycle ,08:50:00,07:00-10:00
Jam,32,motorcycle ,21:55:00,19:00-22:00
Jam,42,scooter ,19:10:00,19:00-22:00
Jam,25,motorcycle ,21:10:00,19:00-22:00
Medium,18,motorcycle ,18:20:00,16:00-19:00
Jam,27,electric_scooter ,21:35:00,19:00-22:00
Jam,25,motorcycle ,21:35:00,19:00-22:00
Medium,16,motorcycle ,18:15:00,16:00-19:00
Medium,44,motorcycle ,18:40:00,16:00-19:00
Jam,31,scooter ,21:25:00,19:00-22:00
Low,37,motorcycle ,23:55:00,22:00-00:00
Jam,39,scooter ,20:40:00,19:00-22:00
Low,29,motorcycle ,10:35:00,10:00-13:00
Low,14,motorcycle ,08:55:00,07:00-10:00
Low,16,motorcycle ,22:30:00,22:00-00:00
High,26,motorcycle ,13:40:00,13:00-16:00
Low,23,scooter ,22:55:00,22:00-00:00
Medium,26,scooter ,18:15:00,16:00-19:00
Medium,29,scooter ,18:20:00,16:00-19:00
Low,26,motorcycle ,08:45:00,07:00-10:00
Medium,29,scooter ,18:25:00,16:00-19:00
High,23,motorcycle ,15:00:00,13:00-16:00
Medium,19,scooter ,17:55:00,16:00-19:00
Jam,32,motorcycle ,20:15:00,19:00-22:00
Medium,26,motorcycle ,18:50:00,16:00-19:00
Medium,31,scooter ,17:50:00,16:00-19:00
Jam,36,motorcycle ,19:50:00,19:00-22:00
Low,25,motorcycle ,09:50:00,07:00-10:00
Low,32,motorcycle ,22:20:00,22:00-00:00
High,28,motorcycle ,13:15:00,13:00-16:00
Medium,19,scooter ,18:35:00,16:00-19:00
High,33,scooter ,13:45:00,13:00-16:00
Medium,12,electric_scooter ,17:15:00,16:00-19:00
Low,22,motorcycle ,08:10:00,07:00-10:00
Low,28,electric_scooter ,23:25:00,22:00-00:00
Medium,39,scooter ,17:45:00,16:00-19:00
Low,11,motorcycle ,22:35:00,22:00-00:00
High,16,motorcycle ,13:25:00,13:00-16:00
Medium,38,motorcycle ,17:50:00,16:00-19:00
Medium,49,motorcycle ,19:00:00,19:00-22:00
Medium,28,motorcycle ,18:45:00,16:00-19:00
Medium,31,motorcycle ,18:20:00,16:00-19:00
Low,27,scooter ,23:20:00,22:00-00:00
Medium,32,motorcycle ,16:30:00,16:00-19:00
Medium,27,scooter ,15:30:00,13:00-16:00
Jam,17,electric_scooter ,20:45:00,19:00-22:00
High,14,motorcycle ,14:45:00,13:00-16:00
Low,15,motorcycle ,23:00:00,22:00-00:00
Low,21,motorcycle ,23:00:00,22:00-00:00
Medium,34,scooter ,18:10:00,16:00-19:00
Low,12,motorcycle ,08:10:00,07:00-10:00
Low,26,scooter ,22:55:00,22:00-00:00
Low,22,motorcycle ,09:35:00,07:00-10:00
Low,17,motorcycle ,22:55:00,22:00-00:00
High,32,motorcycle ,13:40:00,13:00-16:00
Low,23,motorcycle ,23:35:00,22:00-00:00
Low,24,motorcycle ,09:35:00,07:00-10:00
Low,23,motorcycle ,09:00:00,07:00-10:00
Medium,26,motorcycle ,17:10:00,16:00-19:00
Low,16,scooter ,09:30:00,07:00-10:00
Low,23,motorcycle ,23:40:00,22:00-00:00
Low,20,motorcycle ,22:55:00,22:00-00:00
Medium,29,scooter ,17:30:00,16:00-19:00
Medium,12,scooter ,17:15:00,16:00-19:00
Jam,37,scooter ,20:25:00,19:00-22:00
Jam,34,scooter ,21:10:00,19:00-22:00
Low,20,motorcycle ,23:25:00,22:00-00:00
Jam,25,motorcycle ,19:25:00,19:00-22:00
Low,19,motorcycle ,22:30:00,22:00-00:00
Low,27,scooter ,23:50:00,22:00-00:00
Jam,21,motorcycle ,19:35:00,19:00-22:00
Low,15,motorcycle ,23:55:00,22:00-00:00
Low,18,scooter ,23:15:00,22:00-00:00
Jam,37,motorcycle ,19:15:00,19:00-22:00
Low,20,scooter ,23:15:00,22:00-00:00
Jam,31,motorcycle ,19:50:00,19:00-22:00
Low,22,motorcycle ,22:20:00,22:00-00:00
Low,21,motorcycle ,22:55:00,22:00-00:00
Jam,41,scooter ,20:55:00,19:00-22:00
Jam,41,motorcycle ,20:40:00,19:00-22:00
Jam,21,motorcycle ,21:00:00,19:00-22:00
Low,33,motorcycle ,09:15:00,07:00-10:00
Low,11,electric_scooter ,22:50:00,22:00-00:00
Medium,41,motorcycle ,17:35:00,16:00-19:00
High,28,electric_scooter ,11:30:00,10:00-13:00
Low,11,scooter ,08:55:00,07:00-10:00
Medium,27,motorcycle ,17:45:00,16:00-19:00
Jam,36,motorcycle ,20:10:00,19:00-22:00
Low,15,scooter ,09:40:00,07:00-10:00
Jam,30,scooter ,19:20:00,19:00-22:00
Medium,33,motorcycle ,18:10:00,16:00-19:00
Medium,17,motorcycle ,18:00:00,16:00-19:00
Low,27,motorcycle ,09:20:00,07:00-10:00
Jam,16,electric_scooter ,19:45:00,19:00-22:00
Jam,31,scooter ,20:15:00,19:00-22:00
Low,35,motorcycle ,23:45:00,22:00-00:00
Medium,38,scooter ,18:45:00,16:00-19:00
Medium,26,scooter ,18:30:00,16:00-19:00
Medium,25,motorcycle ,17:10:00,16:00-19:00
Jam,38,scooter ,19:30:00,19:00-22:00
Low,23,scooter ,08:45:00,07:00-10:00
Jam,26,motorcycle ,20:55:00,19:00-22:00
Low,11,motorcycle ,10:35:00,10:00-13:00
Jam,26,motorcycle ,21:55:00,19:00-22:00
Medium,25,motorcycle ,17:45:00,16:00-19:00
Jam,41,motorcycle ,22:00:00,22:00-00:00
Jam,41,scooter ,19:55:00,19:00-22:00
Low,18,electric_scooter ,23:15:00,22:00-00:00
Low,13,scooter ,22:10:00,22:00-00:00
Medium,38,motorcycle ,18:55:00,16:00-19:00
Jam,49,scooter ,22:00:00,22:00-00:00
Jam,30,motorcycle ,19:30:00,19:00-22:00
Jam,35,motorcycle ,20:10:00,19:00-22:00
High,30,motorcycle ,11:15:00,10:00-13:00
Low,19,motorcycle ,10:00:00,10:00-13:00
High,38,scooter ,11:35:00,10:00-13:00
Jam,16,motorcycle ,21:55:00,19:00-22:00
Low,28,motorcycle ,09:50:00,07:00-10:00
Medium,33,scooter ,18:35:00,16:00-19:00
Low,23,motorcycle ,23:30:00,22:00-00:00
Low,20,motorcycle ,00:00:00,00:00-04:00
Medium,34,scooter ,18:25:00,16:00-19:00
Jam,41,motorcycle ,19:35:00,19:00-22:00
Low,11,motorcycle ,09:35:00,07:00-10:00
Jam,35,scooter ,21:10:00,19:00-22:00
Medium,15,electric_scooter ,16:15:00,16:00-19:00
Low,35,motorcycle ,23:35:00,22:00-00:00
Low,42,scooter ,23:20:00,22:00-00:00
Medium,23,motorcycle ,18:15:00,16:00-19:00
Medium,24,motorcycle ,18:40:00,16:00-19:00
Jam,43,motorcycle ,19:20:00,19:00-22:00
Low,35,scooter ,23:25:00,22:00-00:00
Jam,24,scooter ,21:45:00,19:00-22:00
Jam,43,scooter ,20:10:00,19:00-22:00
Jam,30,electric_scooter ,20:35:00,19:00-22:00
Medium,29,electric_scooter ,18:25:00,16:00-19:00
Jam,30,motorcycle ,21:55:00,19:00-22:00
Jam,28,electric_scooter ,20:45:00,19:00-22:00
Low,25,motorcycle ,10:40:00,10:00-13:00
Medium,15,scooter ,18:35:00,16:00-19:00
Jam,25,motorcycle ,21:10:00,19:00-22:00
High,24,motorcycle ,12:40:00,10:00-13:00
Low,15,scooter ,23:45:00,22:00-00:00
Low,19,motorcycle ,23:50:00,22:00-00:00
Low,19,motorcycle ,09:30:00,07:00-10:00
Low,17,electric_scooter ,23:50:00,22:00-00:00
Low,20,motorcycle ,09:10:00,07:00-10:00
Low,18,scooter ,10:55:00,10:00-13:00
Medium,29,scooter ,17:35:00,16:00-19:00
Medium,26,scooter ,18:50:00,16:00-19:00
Low,35,motorcycle ,23:20:00,22:00-00:00
High,21,motorcycle ,11:30:00,10:00-13:00
Low,37,scooter ,23:45:00,22:00-00:00
Jam,36,scooter ,20:50:00,19:00-22:00
Jam,41,scooter ,19:40:00,19:00-22:00
Medium,22,electric_scooter ,17:25:00,16:00-19:00
Low,18,scooter ,23:25:00,22:00-00:00
Low,21,scooter ,22:50:00,22:00-00:00
Jam,30,scooter ,20:20:00,19:00-22:00
Jam,28,scooter ,20:50:00,19:00-22:00
Low,24,motorcycle ,10:45:00,10:00-13:00
Jam,25,scooter ,19:20:00,19:00-22:00
High,22,electric_scooter ,13:30:00,13:00-16:00
High,32,motorcycle ,14:10:00,13:00-16:00
Medium,27,motorcycle ,17:50:00,16:00-19:00
Jam,21,motorcycle ,19:20:00,19:00-22:00
Low,36,motorcycle ,23:00:00,22:00-00:00
Medium,29,motorcycle ,15:50:00,13:00-16:00
Medium,28,motorcycle ,18:50:00,16:00-19:00
Low,15,motorcycle ,22:55:00,22:00-00:00
Jam,21,motorcycle ,19:40:00,19:00-22:00
Medium,17,motorcycle ,17:10:00,16:00-19:00
Low,18,motorcycle ,10:00:00,10:00-13:00
Low,27,electric_scooter ,23:50:00,22:00-00:00
Low,33,motorcycle ,23:35:00,22:00-00:00
High,26,motorcycle ,12:25:00,10:00-13:00
Low,10,electric_scooter ,08:15:00,07:00-10:00
Jam,36,scooter ,21:50:00,19:00-22:00
Low,31,motorcycle ,22:40:00,22:00-00:00
Medium,16,electric_scooter ,17:15:00,16:00-19:00
Low,16,motorcycle ,22:30:00,22:00-00:00
Jam,19,motorcycle ,21:40:00,19:00-22:00
High,28,scooter ,12:00:00,10:00-13:00
Jam,28,motorcycle ,20:00:00,19:00-22:00
Jam,33,scooter ,20:45:00,19:00-22:00
Jam,33,motorcycle ,20:45:00,19:00-22:00
High,24,motorcycle ,13:30:00,13:00-16:00
Jam,11,motorcycle ,21:15:00,19:00-22:00
Medium,30,motorcycle ,17:55:00,16:00-19:00
Jam,36,scooter ,19:10:00,19:00-22:00
Jam,42,scooter ,21:45:00,19:00-22:00
Medium,18,scooter ,17:55:00,16:00-19:00
Low,22,motorcycle ,23:25:00,22:00-00:00
Jam,45,motorcycle ,19:25:00,19:00-22:00
Low,19,scooter ,22:10:00,22:00-00:00
Jam,37,motorcycle ,21:20:00,19:00-22:00
Jam,24,electric_scooter ,20:45:00,19:00-22:00
Low,22,motorcycle ,23:15:00,22:00-00:00
High,38,scooter ,11:35:00,10:00-13:00
Low,31,scooter ,22:50:00,22:00-00:00
High,25,scooter ,14:50:00,13:00-16:00
Medium,21,scooter ,18:35:00,16:00-19:00
Low,27,scooter ,23:45:00,22:00-00:00
Low,13,motorcycle ,10:15:00,10:00-13:00
Low,16,scooter ,23:25:00,22:00-00:00
Medium,29,scooter ,18:45:00,16:00-19:00
Low,22,motorcycle ,22:30:00,22:00-00:00
Low,16,scooter ,09:35:00,07:00-10:00
Medium,27,electric_scooter ,19:00:00,19:00-22:00
Medium,18,motorcycle ,18:30:00,16:00-19:00
Jam,27,scooter ,19:55:00,19:00-22:00
Low,30,scooter ,23:45:00,22:00-00:00
Jam,15,scooter ,21:00:00,19:00-22:00
Jam,22,motorcycle ,20:45:00,19:00-22:00
Jam,26,electric_scooter ,20:35:00,19:00-22:00
Low,26,scooter ,23:35:00,22:00-00:00
Jam,43,scooter ,21:45:00,19:00-22:00
Medium,38,scooter ,17:40:00,16:00-19:00
Low,20,motorcycle ,09:30:00,07:00-10:00
Medium,21,motorcycle ,17:35:00,16:00-19:00
Low,17,scooter ,22:30:00,22:00-00:00
High,43,motorcycle ,14:45:00,13:00-16:00
Jam,32,scooter ,19:20:00,19:00-22:00
Low,22,motorcycle ,23:55:00,22:00-00:00
Jam,34,motorcycle ,21:10:00,19:00-22:00
Low,17,scooter ,22:35:00,22:00-00:00
Medium,38,motorcycle ,15:30:00,13:00-16:00
Medium,23,motorcycle ,18:10:00,16:00-19:00
Low,19,motorcycle ,10:45:00,10:00-13:00
Medium,35,motorcycle ,18:40:00,16:00-19:00
Low,25,motorcycle ,08:50:00,07:00-10:00
Jam,26,scooter ,20:00:00,19:00-22:00
Medium,21,scooter ,18:30:00,16:00-19:00
Low,18,motorcycle ,10:20:00,10:00-13:00
Low,18,motorcycle ,22:10:00,22:00-00:00
Low,20,motorcycle ,22:15:00,22:00-00:00
Medium,42,motorcycle ,17:30:00,16:00-19:00
Jam,30,electric_scooter ,21:40:00,19:00-22:00
Medium,34,motorcycle ,17:20:00,16:00-19:00
Jam,32,motorcycle ,20:55:00,19:00-22:00
Jam,20,scooter ,20:35:00,19:00-22:00
Medium,42,motorcycle ,17:30:00,16:00-19:00
High,27,scooter ,12:10:00,10:00-13:00
Jam,44,motorcycle ,19:20:00,19:00-22:00
Low,21,electric_scooter ,10:15:00,10:00-13:00
Low,24,motorcycle ,22:50:00,22:00-00:00
Jam,40,motorcycle ,19:10:00,19:00-22:00
Low,18,scooter ,22:55:00,22:00-00:00
Low,29,motorcycle ,22:50:00,22:00-00:00
Low,20,motorcycle ,23:40:00,22:00-00:00
Jam,39,motorcycle ,19:30:00,19:00-22:00
Medium,38,motorcycle ,18:25:00,16:00-19:00
Jam,15,scooter ,19:40:00,19:00-22:00
Jam,50,motorcycle ,21:35:00,19:00-22:00
Low,13,scooter ,08:55:00,07:00-10:00
Medium,42,motorcycle ,17:35:00,16:00-19:00
Medium,26,motorcycle ,18:35:00,16:00-19:00
Jam,32,motorcycle ,20:40:00,19:00-22:00
Medium,19,motorcycle ,17:35:00,16:00-19:00
Jam,31,motorcycle ,20:45:00,19:00-22:00
Medium,41,motorcycle ,18:55:00,16:00-19:00
Low,20,scooter ,23:25:00,22:00-00:00
Medium,10,motorcycle ,17:10:00,16:00-19:00
Low,21,motorcycle ,10:00:00,10:00-13:00
Low,15,scooter ,08:25:00,07:00-10:00
High,20,motorcycle ,12:40:00,10:00-13:00
Medium,17,scooter ,17:25:00,16:00-19:00
Jam,34,scooter ,20:45:00,19:00-22:00
Jam,34,motorcycle ,19:45:00,19:00-22:00
Low,19,motorcycle ,10:00:00,10:00-13:00
Jam,39,motorcycle ,21:30:00,19:00-22:00
Medium,21,motorcycle ,16:10:00,16:00-19:00
Medium,33,motorcycle ,18:00:00,16:00-19:00
Medium,18,scooter ,17:10:00,16:00-19:00
Low,35,scooter ,22:35:00,22:00-00:00
High,33,scooter ,12:35:00,10:00-13:00
Low,31,motorcycle ,09:25:00,07:00-10:00
Low,15,motorcycle ,10:20:00,10:00-13:00
Low,18,motorcycle ,22:40:00,22:00-00:00
Medium,37,motorcycle ,18:50:00,16:00-19:00
High,25,scooter ,14:50:00,13:00-16:00
Medium,44,scooter ,17:35:00,16:00-19:00
Jam,32,motorcycle ,22:00:00,22:00-00:00
Jam,17,scooter ,21:55:00,19:00-22:00
Medium,34,scooter ,19:00:00,19:00-22:00
Low,14,electric_scooter ,08:45:00,07:00-10:00
Jam,27,scooter ,20:30:00,19:00-22:00
Low,26,motorcycle ,22:45:00,22:00-00:00
Low,33,motorcycle ,23:15:00,22:00-00:00
Jam,32,scooter ,21:15:00,19:00-22:00
Low,24,motorcycle ,22:10:00,22:00-00:00
Jam,30,scooter ,20:15:00,19:00-22:00
Low,29,motorcycle ,08:50:00,07:00-10:00
Jam,28,motorcycle ,21:40:00,19:00-22:00
Low,25,motorcycle ,08:20:00,07:00-10:00
Jam,23,scooter ,19:15:00,19:00-22:00
Low,19,motorcycle ,22:30:00,22:00-00:00
Low,16,motorcycle ,22:15:00,22:00-00:00
Medium,19,electric_scooter ,17:40:00,16:00-19:00
Low,21,scooter ,10:35:00,10:00-13:00
Medium,17,motorcycle ,17:25:00,16:00-19:00
Jam,44,scooter ,20:30:00,19:00-22:00
Medium,38,motorcycle ,18:55:00,16:00-19:00
Jam,30,scooter ,20:00:00,19:00-22:00
Medium,30,motorcycle ,17:55:00,16:00-19:00
Low,20,electric_scooter ,22:10:00,22:00-00:00
Medium,31,motorcycle ,19:00:00,19:00-22:00
Jam,22,scooter ,21:50:00,19:00-22:00
Medium,24,motorcycle ,17:00:00,16:00-19:00
Jam,16,electric_scooter ,19:25:00,19:00-22:00
High,19,scooter ,12:00:00,10:00-13:00
Medium,33,motorcycle ,18:35:00,16:00-19:00
Jam,21,electric_scooter ,21:15:00,19:00-22:00
Medium,25,motorcycle ,17:20:00,16:00-19:00
High,21,motorcycle ,13:20:00,13:00-16:00
Medium,17,motorcycle ,17:25:00,16:00-19:00
Jam,50,motorcycle ,21:10:00,19:00-22:00
Medium,18,scooter ,17:55:00,16:00-19:00
Jam,16,scooter ,19:15:00,19:00-22:00
Low,22,motorcycle ,09:00:00,07:00-10:00
Jam,53,motorcycle ,21:00:00,19:00-22:00
Low,11,scooter ,08:55:00,07:00-10:00
High,32,scooter ,11:20:00,10:00-13:00
Low,17,electric_scooter ,08:10:00,07:00-10:00
Jam,31,motorcycle ,21:10:00,19:00-22:00
Jam,31,motorcycle ,19:35:00,19:00-22:00
Low,15,motorcycle ,23:00:00,22:00-00:00
Jam,40,motorcycle ,19:25:00,19:00-22:00
High,32,motorcycle ,13:30:00,13:00-16:00
High,37,electric_scooter ,12:15:00,10:00-13:00
Jam,48,motorcycle ,20:35:00,19:00-22:00
Low,22,scooter ,23:00:00,22:00-00:00
Medium,36,motorcycle ,17:20:00,16:00-19:00
Medium,25,motorcycle ,17:20:00,16:00-19:00
Medium,15,motorcycle ,16:25:00,16:00-19:00
Jam,15,scooter ,20:45:00,19:00-22:00
Jam,51,motorcycle ,21:25:00,19:00-22:00
Medium,28,motorcycle ,18:30:00,16:00-19:00
Low,29,motorcycle ,09:00:00,07:00-10:00
Jam,29,motorcycle ,21:25:00,19:00-22:00
High,46,motorcycle ,13:55:00,13:00-16:00
Low,36,scooter ,22:45:00,22:00-00:00
Jam,12,motorcycle ,21:30:00,19:00-22:00
Jam,33,scooter ,19:55:00,19:00-22:00
Jam,45,motorcycle ,20:10:00,19:00-22:00
Low,28,motorcycle ,22:10:00,22:00-00:00
Low,27,scooter ,22:45:00,22:00-00:00
